artifact,experiment,book,model,env_tag,host,backend,ctx,parallel,kv,arm,n,correct,accuracy_pct,validation,dirty,commit,elapsed_s,finished,endpoint
batch_alignment__grimgar03__qwen__qwen3-14b__thunder-a6000-align.json,batch_alignment,grimgar03,qwen/qwen3-14b,cloud-a6000-llamacpp-cuda,instance-wa5dh8u3-main,llama.cpp-cuda,32768,1,f16?,fixed,385,275,71.4,ok,False,,1295.5,08-01 22:38,http://127.0.0.1:8090/v1
batch_alignment__grimgar03__qwen__qwen3-14b__thunder-a6000-align.json,batch_alignment,grimgar03,qwen/qwen3-14b,cloud-a6000-llamacpp-cuda,instance-wa5dh8u3-main,llama.cpp-cuda,32768,1,f16?,aligned,385,273,70.9,ok,False,,1295.5,08-01 22:38,http://127.0.0.1:8090/v1
batch_contiguity__grimgar03__qwen__qwen3-14b__thunder-a6000-cuda.json,batch_contiguity,grimgar03,qwen/qwen3-14b,cloud-a6000-llamacpp-cuda,instance-wa5dh8u3-main,llama.cpp-cuda,32768,1,f16?,contiguous,385,287,74.5,ok,False,,5518.1,08-01 02:29,http://127.0.0.1:8090/v1
batch_contiguity__grimgar03__qwen__qwen3-14b__thunder-a6000-cuda.json,batch_contiguity,grimgar03,qwen/qwen3-14b,cloud-a6000-llamacpp-cuda,instance-wa5dh8u3-main,llama.cpp-cuda,32768,1,f16?,scattered,385,223,57.9,ok,False,,5518.1,08-01 02:29,http://127.0.0.1:8090/v1
batch_contiguity__index18__qwen__qwen3-14b__local-rocm-contig.json,batch_contiguity,index18,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,f16?,contiguous,92,69,75.0,ok,False,bd0a696a,10801.7,08-03 00:50,http://127.0.0.1:8090/v1
batch_contiguity__index18__qwen__qwen3-14b__local-rocm-contig.json,batch_contiguity,index18,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,f16?,scattered,92,62,67.4,ok,False,bd0a696a,10801.7,08-03 00:50,http://127.0.0.1:8090/v1
batch_contiguity__mushoku16__qwen__qwen3-14b__local-rocm-contig.json,batch_contiguity,mushoku16,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,f16?,contiguous,133,91,68.4,ok,False,05e4c8d2,15992.9,08-03 05:17,http://127.0.0.1:8090/v1
batch_contiguity__mushoku16__qwen__qwen3-14b__local-rocm-contig.json,batch_contiguity,mushoku16,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,f16?,scattered,133,42,31.6,ok,False,05e4c8d2,15992.9,08-03 05:17,http://127.0.0.1:8090/v1
batch_contiguity__owarimonogatari3__qwen__qwen3-14b__local-rocm-contig.json,batch_contiguity,owarimonogatari3,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,f16?,contiguous,162,87,53.7,ok,False,1ce18fdd,19624.4,08-02 04:52,http://127.0.0.1:8090/v1
batch_contiguity__owarimonogatari3__qwen__qwen3-14b__local-rocm-contig.json,batch_contiguity,owarimonogatari3,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,f16?,scattered,162,57,35.2,ok,False,1ce18fdd,19624.4,08-02 04:52,http://127.0.0.1:8090/v1
batch_size__grimgar03__llama-3.3-70b__thunder-a6000-70b.json,batch_size,grimgar03,llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,b1,400,242,60.5,ok,False,,3853.3,07-28 12:32,http://127.0.0.1:8090/v1
batch_size__grimgar03__llama-3.3-70b__thunder-a6000-70b.json,batch_size,grimgar03,llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,b5,400,276,69.0,ok,False,,3853.3,07-28 12:32,http://127.0.0.1:8090/v1
batch_size__grimgar03__llama-3.3-70b__thunder-a6000-70b.json,batch_size,grimgar03,llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,b25,400,317,79.2,ok,False,,3853.3,07-28 12:32,http://127.0.0.1:8090/v1
batch_size__grimgar03__qwen__qwen3-14b__local-llamacpp-wide.json,batch_size,grimgar03,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,b25,400,239,59.8,ok,True,6c003aaf,2990.1,07-28 16:02,http://127.0.0.1:8090/v1
